Airline Name,Airline Country,Airline Code
Tez Jet Airlines,K9 / TEZ,K9
Thai Airways,TG / THA,TG
Thai Lion Air,SL / TLM,SL
Tianjin Air Cargo,HT / CTJ,HT
Tianjin Airlines,GS / GCR,GS
Tibet Airlines,TV / TBA,TV
Tigerair Taiwan,IT / TTW,IT
Titan Airways,ZT / AWC,ZT
Toki Air,BV / TOK,BV
Total Linhas Aereas,0T / TTL,0T
Trade Air,C3 / TDR,C3
Tradewind Aviation,TJ / GPD,TJ
Trans Air Congo,Q8 / TSG,Q8
Transair,R2 / GTS,R2
Transair,R9 / MUI,R9
Transavia,HV / TRA,HV
TransNusa,8B / TNU,8B
Trigana Air,IL / TGN,IL
Tropic Air,9N / TOS,9N
Tropic Ocean Airways,TI / FTO,TI
Tsaradia,TZ / TDS,TZ
TUI fly,X3 / TUI,X3
TUM AeroCarga,T2 / MCS,T2
Tunisair,TU / TAR,TU
Turkish Airlines,TK / THY,TK
Turkmenistan Airlines,T5 / TUA,T5
Turpial Airlines,T9 / VTU,T9
Tus Air,U8 / CYF,U8
Twin Jet,T7 / TJT,T7
Uganda Airlines,UR / UGD,UR
Ukraine International Airlines,PS / AUI,PS
ULS Airlines Cargo,GO / KZU,GO
Ultimate Jet,UE / UJC,UE
UNI Air,B7 / UIA,B7
United Airlines,UA / UAL,UA
United Nigeria Airlines,UN / NUA,UN
Universal Air,VO / UVL,VO
Uniworld Air Cargo,U7 / UCG,U7
UPS,5X / UPS,5X
UR Airlines,UD / UBD,UD
Ural Airlines,U6 / SVR,U6
Urumqi Air,UQ / CUH,UQ
US-Bangla Airlines,BS / UBG,BS
USA Jet Airlines,UJ / JUS,UJ
USC,XG / USY,XG
Utair,UT / UTA,UT
UVT Aero,RT / UVT,RT
Uzbekistan Airways,HY / UZB,HY
ValueJet,VK / FVJ,VK
Van Air Europe,V9 / VAA,V9
Vasco,0V / VFC,0V
Venezolana,WW / VNE,WW
Vieques Air Link,V4 / VES,V4
VietJet Air,VJ / VJC,VJ
Vietnam Airlines,VN / HVN,VN
Vietravel Airlines,VU / VAG,VU
Virgin Atlantic,VS / VIR,VS
Virgin Australia,VA / VOZ,VA
Vistara,UK / VTI,UK
VivaAerobus,VB / VIV,VB
VoePass,2Z / PTB,2Z
Volaris,Y4 / VOI,Y4
Volga-Dnepr Airlines,VI / VDA,VI
Volotea,V7 / VOE,V7
Voyageur Airways,VC / VAL,VC
Vueling,VY / VLG,VY
Wamos Air,EB / PLM,EB
Warbelows Air Ventures,4W / WAV,4W
Wasaya Airways,WP / WSG,WP
West Air,PN / CHB,PN
Western Air,WU / WST,WU
Western Aircraft,ST / STT,ST
Western Global Airlines,KD / WGN,KD
WestJet,WS / WJA,WS
White,WI / WHT,WI
Wideroe,WF / WIF,WF
Winair,WM / WIA,WM
Windrose Airlines,7W / WRC,7W
Wingo,P5 / RPB,P5
Wings Air,IW / WON,IW
Wizz Air,W6 / WZZ,W6
World Atlantic Airlines,WL / WAL,WL
World Cargo Airlines,3G / WCM,3G
World2Fly,2W / WFL,2W
Wright Air Service,8V / WRF,8V
Xfly,EE / EST,EE
Xiamen Air,MF / CXA,MF
Yakutia Airlines,R3 / SYL,R3
Yamal Airlines,YC / LLM,YC
YanAir,YE / ANR,YE
Yemenia,IY / IYE,IY
Yeti Airlines,YT / NYT,YT
YTO Cargo Airlines,YG / HYT,YG
Z Air,7Z / EZR,7Z
Zagros Airlines,ZO / IZG,ZO
Zambia Airways,ZN / AZB,ZN
Zetavia,ZK / ZAV,ZK
Zimex Aviation,XM / IMX,XM
Zipair,ZG / TZP,ZG
Zooom,ZO / ZOM,ZO
