Airline Name,Airline Country,Airline Code
Aurigny Air Services,GR / AUR,GR
Aurora,HZ / SHU,HZ
Austrian Airlines,OS / AUA,OS
Avelo Airlines,XP / VXP,XP
Avia Traffic,YK / AVJ,YK
Aviacon Zitotrans,ZR / AZS,ZR
Avianca,AV / AVA,AV
Avianca Cargo,QT / TPA,QT
Aviastar-TU,4B / TUP,4B
Aviation Horizons,ZS / HZS,ZS
Avion Express,X9 / NVD,X9
Avior Airlines,9V / ROI,9V
Awesome Cargo,A7 / WIN,A7
Azerbaijan Airlines,J2 / AHY,J2
Azimuth,A4 / AZO,A4
Azman Air,ZU / AZM,ZU
Azores Airlines,S4 / RZO,S4
Aztec Airways,AJ / AZY,AJ
Azul,AD / AZU,AD
Azul Conecta,2F / ACN,2F
Azur Air,ZF / AZV,ZF
Badr Airlines,J4 / BDR,J4
Bahamasair,UP / BHS,UP
Bamboo Airways,QH / BAV,QH
Bangkok Airways,PG / BKP,PG
Bassaka Air,5B / BSX,5B
Batik Air,ID / BTK,ID
Batik Air Malaysia,OD / MXD,OD
BBN Airlines,B5 / BBT,B5
BBN Airlines Indonesia,7B / BBL,7B
Bees Airlines,E8 / BES,E8
Belavia,B2 / BRU,B2
Bemidji Airlines,CH / BMJ,CH
Beond,B4 / BYD,B4
Bering Air,8E / BRG,8E
Berjaya Air,J8 / BVT,J8
BermudAir,2T / BMA,2T
Berniq Airways,NB / BNL,NB
BH Air,8H / BGH,8H
Bhutan Airlines,B3 / BTN,B3
Biman Bangladesh Airlines,BG / BBC,BG
Binter Canarias,NT / IBB,NT
Blue Dart Aviation,BZ / BDA,BZ
Blue Islands,SI / BCI,SI
Bluebird Airways,BZ / BBG,BZ
Boliviana de Aviacion,OB / BOV,OB
Boutique Air,4B / BTQ,4B
BRA,TF / BRX,TF
Breeze Airways,MX / MXY,MX
British Airways,BA / BAW,BA
Brussels Airlines,SN / BEL,SN
Budapest Aircraft Service,RP / BPS,RP
Buddha Air,U4 / BHA,U4
Buffalo Airways,J0 / BFL,J0
Bul Air,LB / BVL,LB
Bulgaria Air,FB / LZB,FB
Buraq Air,UZ / BRQ,UZ
Business Aviation Asia,UN / UNA,UN
Buzz,RR / RYS,RR
CAA,BU / DBP,BU
Cabo Verde Airlines,VR / TCV,VR
Caicos Express Airways,9Q / CXE,9Q
Calm Air,MO / CAV,MO
Camair-Co,QC / CRC,QC
Cambodia Airways,KR / KME,KR
Cambodia Angkor Air,K6 / KHV,K6
Camex Airlines,Z7 / CMS,Z7
Canadian North,5T / AKT,5T
CanaryFly,PM / CNF,PM
Cape Air,9K / KAP,9K
Capital Airlines,JD / CBJ,JD
Cardig Air,7D / CAD,7D
Cargojet Airways,W8 / CJT,W8
Cargolux,CV / CLX,CV
Caribbean Airlines,BW / BWA,BW
Carpatair,V3 / KRP,V3
Caspian Airlines,IV / CPN,IV
Cathay Pacific,CX / CPA,CX
Cayman Airways,KX / CAY,KX
Cebu Pacific,5J / CEB,5J
CemAir,5Z / KEM,5Z
Central Airlines,I9 / HLF,I9
Central Mountain Air,9M / GLR,9M
Chair Airlines,GM / GSW,GM
Chalair Aviation,CE / CLG,CE
Challenge Airlines BE,X7 / CHG,X7
Chengdu Airlines,EU / UEA,EU
China Airlines,CI / CAL,CI
China Cargo Airlines,CK / CKK,CK
China Eastern Airlines,MU / CES,MU
China Express Airlines,G5 / HXA,G5
China Postal Airlines,CF / CYZ,CF
China Southern Airlines,CZ / CSN,CZ
China United Airlines,KN / CUA,KN
Chongqing Airlines,OQ / CQN,OQ
Chrono Aviation,MB / NDL,MB
Chrono Jet,MB / MBK,MB
Citilink,QG / CTV,QG
Cityjet,WX / BCY,WX
Clic,VE / EFY,VE
CMA CGM AirCargo,2C / CMA,2C
Coastal Aviation,CQ / CSV,CQ
Colorful Guizhou Airlines,GY / CGZ,GY
CommuteAir,C5 / UCA,C5
Compass Cargo Airlines,HQ / ADZ,HQ
Condor,DE / CFG,DE
Conquest Air,C4 / QAI,C4
Contour Aviation,LF / VTE,LF
Conviasa,V0 / VCV,V0
Copa Airlines,CM / CMP,CM
Corendon Airlines,XC / CAI,XC
Corsair,SS / CRL,SS
Costa Rica Green Airways,GW / CRG,GW
Croatia Airlines,OU / CTN,OU
Cronos Airlines,C8 / CRA,C8
Crown Airlines,FQ / CWN,FQ
Cubana,CU / CUB,CU
Cyprus Airways,CY / CYP,CY
Czech Airlines,OK / CSA,OK
Daallo Airlines,D3 / DAO,D3
Dan Air,DN / DNA,DN
Dana Air,9J / DAN,9J
DAT,DX / DTR,DX
Delta Air Lines,DL / DAL,DL
DHL Air,D0 / DHK,D0
Discover Airlines,4Y / OCN,4Y
Divi Divi Air,3R / DVR,3R
Donghai Airlines,DZ / EPA,DZ
Dornier Aviation Nigeria Aiep,DO / DAV,DO
DRF Luftrettung,1I / AMB,1I
Druk Air,KB / DRK,KB
E-Cargo Airlines,RF / ERF,RF
Eastar Jet,ZE / ESR,ZE
Eastern Airlines,2D / EAL,2D
Eastern Airways,T3 / EZE,T3
Easy Charter,RD / LOL,RD
easyJet,U2 / EZY,U2
EcoJet,8J / ECO,8J
Edelweiss Air,WK / EDW,WK
Egyptair,MS / MSR,MS
El Al,LY / ELY,LY
Electra Airways,3E / EAF,3E
Elitavia Malta,MA / EAU,MA
Elite Airways,7Q / MNU,7Q
Emirates,EK / UAE,EK
Enter Air,E4 / ENT,E4
Estafeta,E7 / ESF,E7
Estelar,ES / ETR,ES
ETF Airways,LI / EZZ,LI
Ethiopian Airlines,ET / ETH,ET
Etihad Airways,EY / ETD,EY
Euro-Asia Air,5B / EAK,5B
EuroAtlantic Airways,YU / MMZ,YU
European Air Charter,H6 / BUC,H6
European Cargo,SE / URO,SE
Eurowings,EW / EWG,EW
EVA Air,BR / EVA,BR
Everts Air Alaska,5V / VTS,5V
EWA Air,ZD / EWR,ZD
Express Air Cargo,7A / XRC,7A
Eznis Airways,MG / EZA,MG
Fanjet Express,7F / FJE,7F
Fastjet,FN / FJW,FN
Federal Air,C8 / FDR,C8
FedEx,FX / FDX,FX
Fiji Airways,FJ / FJI,FJ
Finnair,AY / FIN,AY
Firefly,FY / FFM,FY
FitsAir,8D / EXV,8D
Flair Airlines,F8 / FLE,F8
Flexflight,W2 / FXT,W2
Flightlink,YS / FLZ,YS
Fly AllWays,8W / EDR,8W
Fly Angola,EQ / FLA,EQ
Fly Baghdad,IF / FBA,IF
Fly Khiva,D3 / KFH,D3
Fly Oya,YI / OYA,YI
Fly Pro,FP / PVV,FP
Fly2Sky,F6 / VAW,F6
Fly4 Airlines,F4 / FFA,F4
Fly540,5H / FFV,5H
Fly91,IC / GOA,IC
Flyadeal,F3 / FAD,F3
FlyArystan,FS / AYN,FS
FlyBig,S9 / FLG,S9
Flybondi,FO / FBZ,FO
FlyDubai,FZ / FDB,FZ
FlyEgypt,FT / FEG,FT
FlyGTA Airlines,SX / TOR,SX
FlyJinnah,9P / FJL,9P
Flylili,FL / LIL,FL
FlyMe,VP / VQI,VP
FlyMontserrat,5M / MNT,5M
FlyNamibia,WV / FLN,WV
Flynas,XY / KNE,XY
FlyOne,5F / FIA,5F
FlyPelican,FP / FRE,FP
FlySafair,FA / SFR,FA
Freebird Airlines,FH / FHY,FH
Freedom Airline Express,4F / FDT,4F
French Bee,BF / FBU,BF
Frontier,F9 / FFT,F9
FTL Airlines,C0 / FGO,C0
Fuji Dream Airlines,JH / FDA,JH
Fuzhou Airlines,FU / FZA,FU
Galistair Infinite Aviation,8S / GTR,8S
Garuda Indonesia,GA / GIA,GA
